,Date_reported,Confirmed,Deaths
0,2020-04-01,10,2.0
1,2020-04-02,1,1.0
2,2020-04-03,11,3.0
3,2020-04-04,9,2.0
4,2020-04-05,1,0.0
5,2020-04-06,11,2.0
6,2020-04-07,6,1.0
7,2020-04-08,6,2.0
8,2020-04-09,5,1.0
9,2020-04-10,6,1.0
10,2020-04-11,6,1.0
11,2020-04-12,4,1.0
12,2020-04-13,4,1.0
13,2020-04-14,5,1.0
14,2020-04-15,5,1.0
15,2020-04-16,2,2.0
16,2020-04-17,3,1.0
17,2020-04-19,3,1.0
18,2020-04-21,1,1.0
19,2020-04-22,5,1.0
20,2020-04-24,3,1.0
21,2020-04-26,1,1.0
22,2020-04-27,4,1.0
23,2020-04-29,3,1.0
